Timestamp, Frame Sequence, Left Eye gaze origin x, Left Eye gaze origin y, Left Eye gaze origin z, Left eye gaze direction normalized x, Left eye gaze direction normalized y, Left eye gaze direction normalized z, left pupil diameter mm, left eye openness, Right Eye gaze origin x, Right Eye gaze origin y, Right Eye gaze origin z, Right eye gaze direction normalized x, Right eye gaze direction normalized y, Right eye gaze direction normalized z, right pupil diameter mm, right eye openness
865443, 75717, 29.91747, -0.2349243, -29.46516, -0.3641663, -0.02262878, 0.9310455, 2.834625, 1, -34.6427, -2.442505, -31.81447, -0.3610382, -0.02880859, 0.9320984, 2.974014, 1
865460, 75719, 29.97394, -0.1883545, -29.44507, -0.3524933, -0.01911926, 0.9356079, 2.657532, 1, -34.58315, -2.403534, -31.76454, -0.3496552, -0.03593445, 0.9361877, 3.010178, 1
865468, 75720, 30.02534, -0.2097015, -29.41525, -0.3371735, -0.02748108, 0.94104, 2.789688, 1, -34.54012, -2.394241, -31.74736, -0.3443451, -0.02706909, 0.938446, 3.085831, 1
865477, 75721, 30.08907, -0.2210083, -29.39267, -0.3301239, -0.02735901, 0.9435272, 2.803116, 1, -34.48111, -2.385696, -31.71774, -0.3382416, -0.03488159, 0.9403992, 3.013718, 1
865493, 75723, 30.17014, -0.2881927, -29.3463, -0.3127289, -0.01771545, 0.9496613, 2.789993, 1, -34.37473, -2.399429, -31.64279, -0.2988586, -0.02546692, 0.953949, 2.831833, 1
865502, 75724, 30.21268, -0.3055573, -29.31595, -0.3085175, -0.0267334, 0.9508362, 2.850037, 1, -34.32985, -2.373718, -31.66667, -0.3249207, -0.01631165, 0.9455872, 2.872208, 1
865510, 75725, 30.23495, -0.3130341, -29.29367, -0.3030243, -0.01885986, 0.9527893, 2.808014, 1, -34.3284, -2.387405, -31.63699, -0.3119812, -0.02815247, 0.9496613, 2.867554, 1
865527, 75727, 30.30907, -0.3157806, -29.21504, -0.299469, -0.02957153, 0.9536438, 2.877045, 1, -34.26096, -2.363327, -31.59711, -0.2957153, -0.02978516, 0.9548035, 2.939423, 1
865535, 75728, 30.34734, -0.334549, -29.16751, -0.2967529, -0.03691101, 0.9542236, 2.88826, 1, -34.2276, -2.374374, -31.58788, -0.2953644, -0.03213501, 0.954834, 2.813049, 1
865543, 75729, 30.38028, -0.361969, -29.09938, -0.2917175, -0.02920532, 0.9560547, 2.748093, 1, -34.19366, -2.396103, -31.57683, -0.2935333, -0.03739929, 0.9552155, 2.906097, 1
865560, 75731, 30.43454, -0.4194794, -28.92593, -0.2880554, -0.02931213, 0.9571533, 2.758682, 1, -34.15219, -2.412109, -31.56863, -0.28508, -0.0222168, 0.9582367, 2.839249, 1
865568, 75732, 30.45148, -0.4215393, -28.91249, -0.2887268, -0.03617859, 0.9567261, 2.837677, 1, -34.1404, -2.400848, -31.54759, -0.283432, -0.03733826, 0.958252, 2.986084, 1
865577, 75733, 30.4666, -0.4161072, -28.91245, -0.2891693, -0.03186035, 0.9567413, 2.867554, 1, -34.12813, -2.392075, -31.55014, -0.2822266, -0.02389526, 0.9590454, 2.924377, 1
865593, 75735, 30.49014, -0.4937592, -28.69867, -0.2835846, -0.03451538, 0.958313, 2.769989, 1, -34.10287, -2.392853, -31.5303, -0.2733765, -0.02545166, 0.9615631, 2.995163, 1
865602, 75736, 30.50117, -0.5584259, -28.5451, -0.2794189, -0.02931213, 0.9597168, 2.752167, 1, -34.09135, -2.396667, -31.52399, -0.270401, -0.02574158, 0.9623871, 2.959915, 1
865610, 75737, 30.52008, -0.6363068, -28.34116, -0.2755127, -0.03063965, 0.9608002, 2.718689, 1, -34.08414, -2.400162, -31.51794, -0.2683258, -0.02970886, 0.9628601, 2.875885, 1
865627, 75739, 30.54494, -0.6579285, -28.27849, -0.2764587, -0.0241394, 0.9607086, 2.851196, 1, -34.06477, -2.386856, -31.51236, -0.2649078, -0.02069092, 0.964035, 2.966049, 1
865635, 75740, 30.57022, -0.6100006, -28.40704, -0.2768097, -0.03067017, 0.960434, 2.654297, 1, -34.05833, -2.371933, -31.49965, -0.2576599, -0.0193634, 0.9660339, 2.996536, 1
865643, 75741, 30.5921, -0.5445557, -28.59029, -0.2717743, -0.02461243, 0.9620361, 2.670853, 1, -34.0488, -2.354706, -31.48981, -0.254364, -0.01928711, 0.9669037, 2.934555, 1
865660, 75743, 30.62779, -0.6743469, -27.92647, -0.272583, -0.0005340576, 0.9621277, 2.755936, 1, -34.01762, -2.272614, -31.49245, -0.2665863, -0.002822876, 0.9637909, 2.940247, 1
865668, 75744, 30.6143, -0.6013641, -27.97687, -0.2742462, -0.0006103516, 0.9616547, 2.744415, 1, -33.9881, -2.209351, -31.45364, -0.2597046, -0.009048462, 0.9656372, 2.882477, 1
865677, 75745, 30.61281, -0.5741119, -27.9583, -0.2754211, 0.01081848, 0.9612579, 2.88765, 1, -33.97453, -2.175125, -31.45009, -0.2602081, -0.001022339, 0.9655457, 2.920929, 1
